PARTIDA_ESPECIFICA,DESCRIPCION
32401,Arrendamiento de equipo e instrumental médico y de laboratorio
32501,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para la ejecución de programas de seguridad pública y nacional"
32502,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para servicios públicos y la operación de programas públicos"
32503,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para servicios administrativos"
32504,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para desastres naturales"
32505,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para servidores públicos"
32601,Arrendamiento de maquinaria y equipo
32701,"Patentes, derechos de autor, regalías y otros"
32901,Arrendamiento de sustancias y productos químicos
32902,PIDIREGAS cargos fijos
32903,Otros Arrendamientos
33101,"Asesorías asociadas a convenios, tratados o acuerdos"
33102,Asesorías por controversias en el marco de los tratados internacionales
33103,Consultorías para programas o proyectos financiados por organismos internacionales
33104,Otras asesorías para la operación de programas
33105,Servicios relacionados con procedimientos jurisdiccionales
33201,"Servicios de diseño, arquitectura, ingeniería y actividades relacionadas"
33301,Servicios de desarrollo de aplicaciones informáticas
33302,Servicios estadísticos y geográficos
33303,Servicios relacionados con certificación de procesos
33304,Servicios de mantenimiento de aplicaciones informáticas
33401,Servicios para capacitación a servidores públicos
33501,Estudios e investigaciones
33601,Servicios relacionados con traducciones
33602,Otros servicios comerciales
33603,"Impresiones de documentos oficiales para la prestación de servicios públicos, identificación, formatos administrativos y fiscales, formas valoradas, certificados y títulos"
33604,Impresión y elaboración de material informativo derivado de la operación y administración de las dependencias y entidades
33605,Información en medios masivos derivada de la operación y administración de las dependencias y entidades
33606,Servicios de digitalización
33701,Gastos de seguridad pública y nacional
33702,Gastos en actividades de seguridad y logística del Estado Mayor Presidencial
33801,Servicios de vigilancia
33901,Subcontratación de servicios con terceros
33902,Proyectos para prestación de servicios
33903,Servicios integrales
33904,Asignaciones derivadas de proyectos de asociación público privada
34101,Servicios bancarios y financieros
34301,Gastos inherentes a la recaudación
34401,Seguro de responsabilidad patrimonial del Estado
34501,Seguros de bienes patrimoniales
34601,"Almacenaje, embalaje y envase"
34701,Fletes y maniobras
34801,Comisiones por ventas
35101,Mantenimiento y conservación de inmuebles para la prestación de servicios administrativos
35102,Mantenimiento y conservación de inmuebles para la prestación de servicios públicos
35201,Mantenimiento y conservación de mobiliario y equipo de administración
35301,Mantenimiento y conservación de bienes informáticos
35401,"Instalación, reparación y mantenimiento de equipo e instrumental médico y de laboratorio"
35501,"Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales"
35601,Reparación y mantenimiento de equipo de defensa y seguridad
35701,Mantenimiento y conservación de maquinaria y equipo
35702,Mantenimiento y conservación de plantas e instalaciones productivas
35801,"Servicios de lavandería, limpieza e higiene"
35901,Servicios de jardinería y fumigación
36101,Difusión de mensajes sobre programas y actividades gubernamentales
36201,Difusión de mensajes comerciales para promover la venta de productos o servicios
36601,Servicio de creación y difusión de contenido exclusivamente a través de Internet (Ramos Autónomos)
36901,Servicios relacionados con monitoreo de información en medios masivos
37101,Pasajes aéreos nacionales para labores en campo y de supervisión
37102,Pasajes aéreos nacionales asociados a los programas de seguridad pública y nacional
37103,Pasajes aéreos nacionales asociados a desastres naturales
37104,Pasajes aéreos nacionales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales
37105,Pasajes aéreos internacionales asociados a los programas de seguridad pública y nacional
37106,Pasajes aéreos internacionales para servidores públicos en el desempeño de comisiones y funciones oficiales
37201,Pasajes terrestres nacionales para labores en campo y de supervisión
37202,Pasajes terrestres nacionales asociados a los programas de seguridad pública y nacional
37203,Pasajes terrestres nacionales asociados a desastres naturales
37204,Pasajes terrestres nacionales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales
37205,Pasajes terrestres internacionales asociados a los programas de seguridad pública y nacional
37206,Pasajes terrestres internacionales para servidores públicos en el desempeño de comisiones y funciones oficiales
37207,Pasajes terrestres nacionales por medio electrónico
37301,"Pasajes marítimos, lacustres y fluviales para labores en campo y de supervisión"
37302,"Pasajes marítimos, lacustres y fluviales asociados a los programas de seguridad pública y nacional"
37303,"Pasajes marítimos, lacustres y fluviales asociados a desastres naturales"
37304,"Pasajes marítimos, lacustres y fluviales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales"
37501,Viáticos nacionales para labores en campo y de supervisión
37502,Viáticos nacionales asociados a los programas de seguridad pública y nacional
37503,Viáticos nacionales asociados a desastres naturales
37504,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales
37601,Viáticos en el extranjero asociados a los programas de seguridad pública y nacional
37602,Viáticos en el extranjero para servidores públicos en el desempeño de comisiones y funciones oficiales
37701,Instalación del personal federal
37801,Servicios integrales nacionales para servidores públicos en el desempeño de comisiones y funciones oficiales
37802,Servicios integrales en el extranjero para servidores públicos en el desempeño de comisiones y funciones oficiales
37901,Gastos para operativos y trabajos de campo en áreas rurales
38101,Gastos de ceremonial del titular del Ejecutivo Federal
38102,Gastos de ceremonial de los titulares de las dependencias y entidades
38103,Gastos inherentes a la investidura presidencial
38201,Gastos de orden social
38301,Congresos y convenciones
38401,Exposiciones
38501,Gastos para alimentación de servidores públicos de mando
39101,Funerales y pagas de defunción
39201,Impuestos y derechos de exportación
39202,Otros impuestos y derechos
39301,Impuestos y derechos de importación
39401,Erogaciones por resoluciones por autoridad competente
39402,Indemnizaciones por expropiación de predios
39403,Otras asignaciones derivadas de resoluciones de ley
39501,"Penas, multas, accesorios y actualizaciones"
39601,Pérdidas del erario federal
39602,Otros gastos por responsabilidades
39701,Erogaciones por pago de utilidades
39801,Impuesto sobre nóminas
39901,Gastos de las Comisiones Internacionales de Límites y Aguas
39902,Gastos de las oficinas del Servicio Exterior Mexicano
39904,Participaciones en órganos de gobierno
39905,Actividades de coordinación con el Presidente Electo
39906,Servicios Corporativos prestados por las Entidades Paraestatales a sus Organismos
39907,Servicios prestados entre Organismos de una Entidad Paraestatal
39908,Erogaciones por cuenta de terceros
39909,Erogaciones recuperables
39910,Apertura de Fondo Rotatorio
41501,Transferencias para cubrir el déficit de operación y los gastos de administración asociados al otorgamiento de subsidios
41601,Transferencias a entidades empresariales no financieras derivadas de la obtención de derechos
43101,Subsidios a la producción
43201,Subsidios a la distribución
43301,Subsidios para inversión
43401,Subsidios a la prestación de servicios públicos
43501,Subsidios para cubrir diferenciales de tasas de interés
43601,Subsidios para la adquisición de vivienda de interés social
43701,Subsidios al consumo
43801,Subsidios a Entidades Federativas y Municipios
43901,Subsidios para capacitación y becas
43902,Subsidios a fideicomisos privados y estatales
44101,"Gastos relacionados con actividades culturales, deportivas y de ayuda extraordinaria"
44102,Gastos por servicios de traslado de personas
44103,"Premios, recompensas, pensiones de gracia y pensión recreativa estudiantil"
44104,"Premios, estímulos, recompensas, becas y seguros a deportistas"
44105,Apoyo a voluntarios que participan en diversos programas federales
44106,Compensaciones por servicios de carácter social
44401,Apoyos a la investigación científica y tecnológica de instituciones académicas y sector público
44402,Apoyos a la investigación científica y tecnológica en instituciones sin fines de lucro
44801,Mercancías para su distribución a la población
45201,Pago de pensiones y jubilaciones
45202,Pago de pensiones y jubilaciones contractuales
45203,Transferencias para el pago de pensiones y jubilaciones
45901,Pago de sumas aseguradas
45902,Prestaciones económicas distintas de pensiones y jubilaciones
46101,Aportaciones a fideicomisos públicos
46102,Aportaciones a mandatos públicos
47101,"Trasferencias para cuotas y aportaciones de seguridad social para el IMSS, ISSSTE e ISSFAM por obligación del Estado"
47102,"Transferencias para cuotas y aportaciones a los seguros de retiro, cesantía en edad avanzada y vejez"
48101,Donativos a instituciones sin fines de lucro
48201,Donativos a entidades federativas o municipios
48301,Donativos a fideicomisos privados
48401,Donativos a fideicomisos estatales
48501,Donativos internacionales
49201,Cuotas y aportaciones a organismos internacionales
49202,Otras aportaciones internacionales
51101,Mobiliario
51201,"Muebles, excepto de oficina y estantería"
51301,Bienes artísticos y culturales
51501,Bienes informáticos
51901,Equipo de administración
51902,"Adjudicaciones, expropiaciones e indemnizaciones de bienes muebles"
52101,Equipos y aparatos audiovisuales
52201,Aparatos deportivos
52301,Cámaras fotográficas y de video
52901,Otro mobiliario y equipo educacional y recreativo
53101,Equipo médico y de laboratorio
53201,Instrumental médico y de laboratorio
54101,"Vehículos y equipo terrestres, para la ejecución de programas de seguridad pública y nacional"
54102,"Vehículos y equipo terrestres, destinados exclusivamente para desastres naturales"
54103,"Vehículos y equipo terrestres, destinados a servicios públicos y la operación de programas públicos"
54104,"Vehículos y equipo terrestres, destinados a servicios administrativos"
54105,"Vehículos y equipo terrestres, destinados a servidores públicos"
54201,Carrocerías y remolques
54301,"Vehículos y equipo aéreos, para la ejecución de programas de seguridad pública y nacional"
54302,"Vehículos y equipo aéreos, destinados exclusivamente para desastres naturales"
54303,"Vehículos y equipo aéreos, destinados a servicios públicos y la operación de programas públicos"
54401,Equipo ferroviario
54501,"Vehículos y equipo marítimo, para la ejecución de programas de seguridad pública y nacional"
54502,"Vehículos y equipo marítimo, destinados a servicios públicos y la operación de programas públicos"
54503,Construcción de embarcaciones
54901,Otros equipos de transporte
55101,Maquinaria y equipo de defensa y seguridad pública
55102,Equipo de seguridad pública y nacional
56101,Maquinaria y equipo agropecuario
56201,Maquinaria y equipo industrial
56301,Maquinaria y equipo de construcción
56401,"Sistemas de aire acondicionado, calefacción y de refrigeración industrial y comercial"
56501,Equipos y aparatos de comunicaciones y telecomunicaciones
56601,Maquinaria y equipo eléctrico y electrónico
56701,Herramientas y máquinas herramienta
56901,Bienes muebles por arrendamiento financiero
56902,Otros bienes muebles
57101,Animales de reproducción
57201,Porcinos
57301,Aves
57401,Ovinos y caprinos
57501,Peces y acuicultura
57601,Animales de trabajo
57701,Animales de custodia y vigilancia
57801,Árboles y plantas
57901,Otros activos biológicos
58101,Terrenos
58301,Edificios y locales
58901,"Adjudicaciones, expropiaciones e indemnizaciones de inmuebles"
58902,Bienes inmuebles en la modalidad de proyectos de infraestructura productiva de largo plazo
58903,Bienes inmuebles por arrendamiento financiero
58904,Otros bienes inmuebles
59101,Software
62101,Obras de construcción para edificios habitacionales
62102,Mantenimiento y rehabilitación de edificaciones habitacionales
62201,Obras de construcción para edificios no habitacionales
62202,Mantenimiento y rehabilitación de edificaciones no habitacionales
62301,"Construcción de obras para el abastecimiento de agua, petróleo, gas, electricidad y telecomunicaciones"
62302,"Mantenimiento y rehabilitación de obras para el abastecimiento de agua, petróleo, gas, electricidad y telecomunicaciones"
62401,Obras de preedificación en terrenos de construcción
62402,Construcción de obras de urbanización
62403,Mantenimiento y rehabilitación de obras de urbanización
62501,Construcción de vías de comunicación
62502,Mantenimiento y rehabilitación de las vías de comunicación
62601,Otras construcciones de ingeniería civil u obra pesada
62602,Mantenimiento y rehabilitación de otras obras de ingeniería civil u obras pesadas
62701,Instalaciones y obras de construcción especializada
62901,Ensamble y edificación de construcciones prefabricadas
62902,Obras de terminación y acabado de edificios
62903,Servicios de supervisión de obras
62904,Servicios para la liberación de derechos de vía
62905,Otros servicios relacionados con obras públicas
72401,Adquisición de acciones o aumento en la participación estatal de capital en el sector privado con fines de política económica
72501,Adquisición de acciones de organismos internacionales
73101,Adquisición de bonos
73501,Adquisición de obligaciones
73901,Fideicomisos para adquisición de títulos de crédito
73902,Adquisición de acciones
73903,Adquisición de otros valores
74201,Créditos directos para actividades productivas otorgados a entidades paraestatales empresariales y no financieras con fines de política económica
74401,Créditos directos para actividades productivas otorgados a entidades federativas y municipios con fines de política económica
74501,Créditos directos para actividades productivas otorgados al sector privado con fines de política económica
74502,Fideicomisos para financiamiento de obras
74503,Fideicomisos para financiamientos agropecuarios
74504,Fideicomisos para financiamientos industriales
74505,Fideicomisos para financiamientos al comercio y otros servicios
74506,Fideicomisos para financiamientos de vivienda
75501,Inversiones en fideicomisos públicos empresariales y no financieros considerados entidades paraestatales
75601,Inversiones en fideicomisos públicos considerados entidades paraestatales
75602,Inversiones en mandatos y otros análogos
75901,"Aportaciones a fideicomisos, mandatos y otros análogos del sector privado"
79901,Erogaciones contingentes
79902,Provisiones para Erogaciones Especiales
81101,Fondo General de Participaciones
81201,Fondo de Fomento Municipal
81401,Otros conceptos participables de la Federación a entidades federativas
83101,Aportaciones federales a las entidades federativas y municipios para servicios personales
83102,Aportaciones federales a las entidades federativas y municipios para aportaciones al ISSSTE
83103,Aportaciones federales a las entidades federativas y municipios para gastos de operación
83104,Aportaciones federales a las entidades federativas y municipios para gastos de inversión
83105,Aportaciones federales a las entidades federativas y municipios
83106,Aportaciones federales a las entidades federativas y municipios para incrementos a las percepciones
83107,Aportaciones federales a las entidades federativas y municipios para creación de plazas
83108,Aportaciones federales a las entidades federativas y municipios para otras medidas de carácter laboral y económicas
83109,Aportaciones federales a las entidades federativas y municipios para aportaciones al FOVISSSTE
83110,Aportaciones federales a las entidades federativas y municipios por previsiones para aportaciones al ISSSTE
83111,Aportaciones federales a las entidades federativas y municipios por previsiones para aportaciones al FOVISSSTE
83112,Aportaciones federales a las entidades federativas y municipios para aportaciones al sistema de ahorro para el retiro
83113,Aportaciones federales a las entidades federativas y municipios para aportaciones al seguro de cesantía en edad avanzada y vejez
83114,Aportaciones federales a las entidades federativas y municipios para los depósitos al ahorro solidario
83115,Aportaciones federales a las entidades federativas y municipios por previsiones para aportaciones al sistema de ahorro para el retiro
83116,Aportaciones federales a las entidades federativas y municipios por previsiones para aportaciones al seguro de cesantía en edad avanzada y vejez
83117,Aportaciones federales a las entidades federativas y municipios por previsiones para los depósitos al ahorro solidario
83118,Aportaciones de la Federación a los organismos del Sistema Nacional de Coordinación Fiscal
83401,Aportaciones de la federación al sistema de protección social
83501,Asignaciones compensatorias a entidades federativas
85101,Convenios de Reasignación
91101,Amortización de la deuda interna con instituciones de crédito
91102,Amortización de la deuda interna derivada de proyectos de infraestructura productiva de largo plazo
91201,Amortización de la deuda por emisión de valores gubernamentales
91301,Amortización de arrendamientos financieros nacionales
91302,Amortización de arrendamientos financieros especiales
91401,Amortización de la deuda externa con instituciones de crédito
91402,Amortización de la deuda externa derivada de proyectos de infraestructura productiva de largo plazo
91501,Amortización de la deuda con organismos financieros internacionales
91601,Amortización de la deuda bilateral
91701,Amortización de la deuda externa por bonos
91801,Amortización de arrendamientos financieros internacionales
92101,Intereses de la deuda interna con instituciones de crédito
92102,Intereses de la deuda interna derivada de proyectos de infraestructura productiva de largo plazo
92201,Intereses derivados de la colocación de valores gubernamentales
92301,Intereses por arrendamientos financieros nacionales
92302,Intereses por arrendamientos financieros especiales
92401,Intereses de la deuda externa con instituciones de crédito
92402,Intereses de la deuda externa derivada de proyectos de infraestructura productiva de largo plazo
92501,Intereses de la deuda con organismos financieros internacionales
92601,Intereses de la deuda bilateral
92701,Intereses derivados de la colocación externa de bonos
92801,Intereses por arrendamientos financieros internacionales
93101,Comisiones de la deuda interna
93201,Comisiones de la deuda externa
94101,Gastos de la deuda interna
94201,Gastos de la deuda externa
95101,Costo por coberturas
96101,Apoyos a intermediarios financieros
96201,Apoyos a ahorradores y deudores de la banca
99101,Adeudos de ejercicios fiscales anteriores
